date,min_price
2020-01-28,3598.9
2020-01-29,3598.9
2020-01-30,3598.9
2020-01-31,3598.9
2020-02-01,3598.9
2020-02-03,3598.9
2020-02-05,3598.9
2020-02-06,3299.9
2020-02-07,3299.9
2020-02-08,3299.9
2020-02-09,3299.9
2020-02-10,3299.9
2020-02-11,3299.9
2020-02-12,3299.9
2020-02-13,3299.9
2020-02-14,3299.9
2020-02-15,3299.9
2020-02-16,3299.9
2020-02-17,3299.9
2020-02-18,3299.9
2020-02-19,3299.9
2020-02-20,3299.99
2020-02-21,3299.9
2020-02-22,3299.9
2020-02-23,3299.9
2020-02-24,3299.9
2020-02-25,3299.9
2020-02-26,3299.9
2020-02-27,3299.9
2020-02-28,3299.9
2020-02-29,3299.9
2020-03-02,3299.9
2020-03-03,3299.9
2020-03-04,3457.99
2020-03-05,3299.9
2020-03-06,3299.9
2020-03-07,3299.9
2020-03-09,3299.9
2020-03-10,3431.99
2020-03-11,3299.9
2020-03-12,3299.9
2020-03-13,3299.9
2020-03-14,3299.9
2020-03-15,3430.99
2020-03-16,3430.99
2020-03-17,3435.99
2020-03-18,3450.99
2020-03-19,3399.8
2020-03-20,3399.8
2020-03-21,3299.9
2020-03-22,3299.9
2020-03-23,3299.9
2020-03-24,3299.9
2020-03-25,3299.9
2020-03-26,3299.9
2020-03-27,2999.9
2020-03-29,2999.9
2020-03-30,2999.9
2020-03-31,2999.9
2020-04-01,2999.9
2020-04-02,2999.9
2020-04-03,2999.9
2020-04-04,2999.9
2020-04-06,2999.9
2020-04-07,2999.99
2020-04-08,3299
2020-04-09,3299
2020-04-10,2925.92
2020-04-11,2925.92
2020-04-13,2925.92
2020-04-14,2925.92
2020-04-15,3299
2020-04-16,2987.99
2020-04-17,2988.99
2020-04-18,2988.99
2020-04-19,2988.99
2020-04-20,2988.99
2020-04-21,2988.99
2020-04-22,2988.99
2020-04-23,2988.99
2020-04-24,2991.99
2020-04-26,2991.99
2020-04-27,2991.99
2020-04-28,3188.8
2020-04-29,3199.9
2020-04-30,3199.99
2020-05-01,3199.99
2020-05-02,3247.8
2020-05-03,3247.8
2020-05-04,3218
2020-05-05,3218
2020-05-06,3218
2020-05-07,3218
2020-05-08,3218
2020-05-09,3218
2020-05-11,3218
2020-05-12,3218
2020-05-13,3218
2020-05-14,3218
2020-05-15,3218
2020-05-16,3218
2020-05-18,3218
2020-05-20,3218
2020-05-21,3218
2020-05-22,3218
2020-05-23,3218
2020-05-24,3218
2020-05-25,3218
2020-05-26,3218
2020-05-27,3218
2020-05-28,3218
2020-05-29,3218
2020-05-30,3218
2020-05-31,3218
2020-06-02,3218
2020-06-03,3218
2020-06-04,3218
2020-06-05,3218
2020-06-06,3218
2020-06-07,3218
2020-06-08,3218
2020-06-09,3218
2020-06-10,3218
2020-06-11,3218
2020-06-12,3218
2020-06-13,3218
2020-06-14,3218
2020-06-15,3218
2020-06-16,3167.93
2020-06-17,3167.93
2020-06-18,3167.93
2020-06-19,3167.93
2020-06-20,3167.93
2020-06-21,3167.93
2020-06-22,3167.93
2020-06-23,3167.93
2020-06-24,3167.93
2020-06-25,3167.93
2020-06-26,3167.93
