entry_id,idprod,date,min_price,avg_price
2605,17,2018-09-29,3399.9,3534.4575
2606,17,2018-10-01,3399.9,3533.9574999999995
2607,17,2018-10-03,3399.9,3534.5824999999995
2608,17,2018-10-04,3399.9,3534.4574999999995
2609,17,2018-10-05,3399.99,3572.3324999999995
2610,17,2018-10-07,3399.99,3592.5825
2611,17,2018-10-08,3399.99,3585.5825
2612,17,2018-10-09,3399.9,3541.7074999999995
2613,17,2018-10-10,3199.9,3516.5825
2614,17,2018-10-11,3199.9,3516.2074999999995
2615,17,2018-10-12,3399.99,3584.5824999999995
2616,17,2018-10-15,3399.9,3540.8325
2617,17,2018-10-16,3399.9,3541.5824999999995
2618,17,2018-10-17,3399.9,3541.7074999999995
2619,17,2018-10-18,3399.9,3541.3324999999995
2620,17,2018-10-19,3399.9,3534.3325
2621,17,2018-10-25,3399.9,3555.95875
2622,17,2018-10-26,3399.9,3556.33375
2623,17,2018-10-30,3399.9,3529.8325
2624,17,2018-10-31,3399.9,3530.2074999999995
2625,17,2018-11-01,3399.99,3569.9575
2626,17,2018-11-02,3399.99,3565.9574999999995
2627,17,2018-11-04,3399.99,3565.8325
2628,17,2018-11-05,3399.99,3565.7074999999995
2629,17,2018-11-06,3399.99,3565.4574999999995
2630,17,2018-11-07,3399.99,3565.7074999999995
2631,17,2018-11-08,3399.99,3564.9574999999995
2632,17,2018-11-09,3501.8,3590.2074999999995
2633,17,2018-11-11,3498.99,3589.8325
2634,17,2018-11-13,3498.99,3589.5825
2635,17,2018-11-14,3274.99,3561.7075
2636,17,2018-11-16,2999.9,3468.3324999999995
2637,17,2018-11-17,2999.9,3496.8325
2638,17,2018-11-18,2999.9,3496.9575
2639,17,2018-11-20,2999.9,3436.2074999999995
2640,17,2018-11-21,2999.9,3436.3324999999995
2641,17,2018-11-22,2999.9,3436.0824999999995
2642,17,2018-11-23,2999.9,3434.5824999999995
2643,17,2018-11-24,2999.9,3434.8325
2644,17,2018-11-27,2999.9,3435.0824999999995
2645,17,2018-11-28,2999.9,3435.2075
2646,17,2018-11-29,2999.9,3435.0824999999995
2647,17,2018-11-30,2999.9,3434.4574999999995
2648,17,2018-12-01,2999.9,3409.4575
2649,17,2018-12-04,2999.9,3409.5824999999995
2650,17,2018-12-05,2999.9,3408.8324999999995
2651,17,2018-12-06,3274.99,3459.0825
