entry_id,idprod,date,min_price,avg_price
387,11,2019-10-10,3532.99,3532.99
388,11,2019-10-14,3532.99,3655.995
389,11,2019-10-15,3532.99,3653.495
390,11,2019-10-21,3532.99,3655.995
391,11,2019-10-27,3532.99,3548.495
392,11,2019-10-28,3532.99,3560.995
393,11,2019-10-30,3532.99,3668.6566666666663
394,11,2019-10-31,3532.99,3668.99
395,11,2019-11-01,3263.98,3461.99
396,11,2019-11-02,3263.98,3443.6566666666663
397,11,2019-11-04,3532.99,3649.6566666666663
398,11,2019-11-05,3049.99,3372.3266666666664
399,11,2019-11-12,3049.99,3392.3266666666664
400,11,2019-11-14,3049.99,3385.8925
401,11,2019-11-21,3049.99,3382.1425
402,11,2019-11-25,2999.99,3377.1119999999996
403,11,2019-11-26,2999.99,3381.1119999999996
404,11,2019-11-27,2999.99,3381.7119999999995
405,11,2019-11-29,2789.99,3339.7119999999995
406,11,2019-11-30,2789.99,3339.9119999999994
407,11,2019-12-04,2789.99,3339.5119999999997
408,11,2019-12-05,2789.99,3356.4249999999993
409,11,2019-12-06,2789.99,3377.077142857143
410,11,2019-12-08,2789.99,3377.219999999999
411,11,2019-12-09,2789.99,3378.805714285714
412,11,2019-12-10,2789.99,3384.9299999999994
413,11,2019-12-11,2999.99,3411.68
414,11,2019-12-12,2999.99,3411.805
415,11,2019-12-13,2999.99,3433.159999999999
416,11,2019-12-14,2999.99,3410.802222222222
417,11,2019-12-17,2999.99,3433.083333333333
418,11,2019-12-18,2999.99,3433.305555555555
419,11,2019-12-19,2999.99,3433.416666666666
420,11,2019-12-20,2999.99,3429.3055555555547
421,11,2019-12-21,2799.99,3384.4177777777777
422,11,2019-12-22,2799.99,3381.084444444444
423,11,2019-12-23,2799.99,3384.973333333333
424,11,2019-12-24,2799.99,3387.3066666666664
425,11,2019-12-26,2799.99,3389.084444444444
426,11,2019-12-27,2799.99,3389.7511111111107
427,11,2019-12-29,2799.99,3386.4177777777777
428,11,2019-12-30,2799.99,3389.7511111111107
429,11,2019-12-31,2799.99,3388.9733333333334
430,11,2020-01-02,2799.99,3422.5277777777774
431,11,2020-01-03,2799.99,3389.1955555555555
432,11,2020-01-04,2799.99,3389.084444444444
433,11,2020-01-05,2799.99,3386.3066666666664
434,11,2020-01-06,2799.99,3386.084444444444
435,11,2020-01-07,2799.99,3397.305555555555
436,11,2020-01-08,2799.99,3397.0077777777774
437,11,2020-01-09,2799.99,3397.2299999999996
438,11,2020-01-10,2799.99,3397.341111111111
439,11,2020-01-11,2799.99,3391.896666666666
440,11,2020-01-14,2799.99,3395.2299999999996
441,11,2020-01-16,2999.99,3417.4522222222217
442,11,2020-01-18,2999.99,3417.554444444444
443,11,2020-01-19,2999.99,3414.2211111111105
444,11,2020-01-20,2999.99,3417.554444444444
445,11,2020-01-21,2999.99,3416.9522222222217
446,11,2020-01-22,2999.99,3424.063333333333
447,11,2020-01-23,2999.99,3424.0311111111105
448,11,2020-01-24,2999.99,3422.2533333333326
449,11,2020-01-25,2999.99,3418.9199999999996
450,11,2020-01-27,2999.99,3422.2533333333326
451,11,2020-01-29,2999.99,3421.6977777777774
452,11,2020-01-30,2999.99,3422.0311111111105
453,11,2020-01-31,3374.99,3492.2522222222215
454,11,2020-02-01,3374.99,3488.918888888888
455,11,2020-02-02,3374.99,3489.0299999999993
456,11,2020-02-04,3318.74,3485.557777777777
457,11,2020-02-05,3318.74,3470.2666666666655
458,11,2020-02-07,3318.74,3469.155555555555
459,11,2020-02-08,3318.74,3468.0444444444443
460,11,2020-02-11,3318.74,3466.9677777777774
461,11,2020-02-12,3318.74,3469.4122222222218
462,11,2020-02-13,3318.74,3457.2777777777774
463,11,2020-02-14,3318.74,3456.166666666666
464,11,2020-02-15,3318.74,3455.776666666666
465,11,2020-02-17,3318.74,3456.154444444444
466,11,2020-02-18,3318.74,3457.376666666666
467,11,2020-02-19,3318.74,3458.356666666666
468,11,2020-02-21,3318.74,3460.344444444444
469,11,2020-02-22,3318.74,3462.0111111111105
470,11,2020-02-23,3318.74,3460.709999999999
471,11,2020-02-24,3299,3451.2699999999995
472,11,2020-02-25,3299,3451.87
473,11,2020-02-27,3299,3453.5699999999997
474,11,2020-02-28,3299,3453.87
475,11,2020-03-03,3299,3454.2699999999995
476,11,2020-03-06,3299,3454.37
477,11,2020-03-07,3299,3454.47
478,11,2020-03-10,3299,3455.0699999999997
479,11,2020-03-11,3299,3454.97
480,11,2020-03-12,3250,3448.096
481,11,2020-03-13,3299,3454.97
482,11,2020-03-16,3299,3455.2699999999995
483,11,2020-03-17,3299,3456.2699999999995
484,11,2020-03-18,3299,3458.6699999999996
485,11,2020-03-20,3250,3451.796
486,11,2020-03-25,3250,3453.196
487,11,2020-03-26,3250,3452.696
488,11,2020-03-27,2499.99,3377.495
489,11,2020-03-29,2499.99,3385.0789999999993
490,11,2020-03-31,2499.99,3384.8789999999995
491,11,2020-04-01,2499.99,3382.9789999999994
492,11,2020-04-02,3250,3455.3959999999997
493,11,2020-04-03,3250,3455.3959999999997
494,11,2020-04-07,3250,3455.296
495,11,2020-04-08,2499.99,3382.2949999999996
496,11,2020-04-09,3250,3457.096
497,11,2020-04-10,3250,3455.096
498,11,2020-04-11,3250,3453.096
499,11,2020-04-14,3250,3453.196
500,11,2020-04-15,3299,3461.296
501,11,2020-04-16,3299,3443.296
502,11,2020-04-17,3299,3445.196
503,11,2020-04-19,2499.99,3350.3949999999995
504,11,2020-04-22,2499.99,3350.2949999999996
505,11,2020-04-23,2499.99,3350.7949999999996
506,11,2020-04-24,2499.99,3351.1949999999997
507,11,2020-04-29,2499.99,3351.2949999999996
508,11,2020-04-30,2499.99,3351.3949999999995
509,11,2020-05-01,2499.99,3333.6949999999997
510,11,2020-05-03,2499.99,3333.7949999999996
511,11,2020-05-06,2499.99,3330.3949999999995
512,11,2020-05-12,2499.99,3265.995
513,11,2020-05-14,2665.99,3286.595
514,11,2020-05-15,2666.99,3286.8949999999995
515,11,2020-05-16,2643.99,3284.6949999999997
516,11,2020-05-17,2643.99,3285.3949999999995
517,11,2020-05-26,2643.99,3285.495
518,11,2020-05-27,2643.99,3285.7949999999996
519,11,2020-05-28,2643.99,3285.8949999999995
520,11,2020-05-30,2643.99,3254.6949999999997
521,11,2020-05-31,2699.99,3291.595
522,11,2020-06-03,2699.99,3257.2949999999996
